127.0.0.1, 2015-12-02 11:31:33, GET, /GroupOrder/default/index, HTTP/1.1, 200, 0.031930
127.0.0.1, 2015-12-02 11:31:33, POST, /GroupOrder/default/load_messages, HTTP/1.1, 200, 0.035379
127.0.0.1, 2015-12-02 13:28:32, GET, /GroupOrder/default/index, HTTP/1.1, 200, 0.051856
127.0.0.1, 2015-12-02 13:28:32, GET, /GroupOrder/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000396
127.0.0.1, 2015-12-02 13:28:32, GET, /GroupOrder/static/css/calendar.css, HTTP/1.1, 304, 0.000791
127.0.0.1, 2015-12-02 13:28:32, GET, /GroupOrder/static/js/jquery.js, HTTP/1.1, 304, 0.002350
127.0.0.1, 2015-12-02 13:28:32, GET, /GroupOrder/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.002074
127.0.0.1, 2015-12-02 13:28:32, GET, /GroupOrder/static/js/calendar.js, HTTP/1.1, 304, 0.000564
127.0.0.1, 2015-12-02 13:28:32, GET, /GroupOrder/static/js/share.js, HTTP/1.1, 304, 0.001490
127.0.0.1, 2015-12-02 13:28:32, GET, /GroupOrder/static/js/web2py.js, HTTP/1.1, 304, 0.000866
127.0.0.1, 2015-12-02 13:28:32, GET, /GroupOrder/static/css/myapp.css, HTTP/1.1, 200, 0.004599
127.0.0.1, 2015-12-02 13:28:32, GET, /GroupOrder/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000580
127.0.0.1, 2015-12-02 13:28:32, GET, /GroupOrder/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 304, 0.001094
127.0.0.1, 2015-12-02 13:28:32, GET, /GroupOrder/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001492
127.0.0.1, 2015-12-02 13:28:32, GET, /GroupOrder/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000621
127.0.0.1, 2015-12-02 13:28:32, GET, /GroupOrder/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000976
127.0.0.1, 2015-12-02 13:28:32, GET, /GroupOrder/static/images/twitter.png, HTTP/1.1, 304, 0.001309
127.0.0.1, 2015-12-02 13:28:32, GET, /GroupOrder/static/images/facebook.png, HTTP/1.1, 304, 0.003758
127.0.0.1, 2015-12-02 13:28:32, GET, /GroupOrder/static/images/gplus-32.png, HTTP/1.1, 304, 0.003002
127.0.0.1, 2015-12-02 13:28:32, GET, /GroupOrder/static/font-awesome-4.4.0/fonts/fontawesome-webfont.woff, HTTP/1.1, 304, 0.003708
127.0.0.1, 2015-12-02 13:28:32, POST, /GroupOrder/default/load_messages, HTTP/1.1, 303, 0.043779
127.0.0.1, 2015-12-02 13:28:32, GET, /GroupOrder/default/user/not_authorized, HTTP/1.1, 403, 0.024917
127.0.0.1, 2015-12-02 13:28:34, GET, /GroupOrder/default/user/login, HTTP/1.1, 200, 0.035881
127.0.0.1, 2015-12-02 13:28:36, POST, /GroupOrder/default/user/login, HTTP/1.1, 303, 0.059478
